AGCnr,HIMANGA,ALFALFA,SPRINGOB,radeg,decdeg,hiflux,width,widtherr,snr,D,vhelagc,vhelio,vopt,v21,Ty,a,b,b/a,zmag,rms,hisrc,logMH,logMH_Limit,Type
11198,0,0,0,274.746246,16.249166,1.46,440,4,9,61.94,4529,4611.42,4478,4529,2,1.3,0.25,0.1923076923,15.1,1,52,9.121207261,,GBT22A_430
11470,0,0,0,295.919586,56.108887,5.87,517,9,6,50.82,3551,3386.6,3386,3551,2.3,2.6,1.7,0.6538461538,13.1,2.7,56,9.553619426,,GBT22A_430
11478,0,0,0,296.780396,59.90667,5.08,463,11,5.5,63.97,3291,3287.64,3313,3291,3,1.6,0.35,0.21875,15,3.1,56,9.690728417,,GBT22A_430
11554,0,0,0,305.888336,58.343887,11.48,347,3,8.9,54.95,3099,3101.74,3103,3099,4,2,1.4,0.7,15.3,6.3,63,9.912789285,,GBT22A_430
11628,0,0,0,311.829163,0.320833,15.37,476,41,7.5,57.54,4218,3966.48,4219,4218,1.7,3,2.3,0.7666666667,13.5,7.4,52,10.07952559,,GBT22A_430
11758,0,0,0,322.740845,13.985833,3.02,627,6,7.3,124.17,8614,8608.03,8590,8614,4.2,1.6,0.2,0.125,15.5,1.2,66,10.04095231,,GBT22A_430
12071,0,0,0,338.102081,30.835278,1.87,356,6,9.7,157.04,10396,10371.59,10372,10396,3.1,1.3,0.4,0.3076923077,15.1,2.3,75,10.03677418,,GBT22A_430
12833,0,0,0,358.384155,8.117778,0.98,387,6,5.5,73.79,5210,5158.97,5155,5210,2,1.1,0.6,0.5454545455,14.8,0.7,52,9.100133099,,GBT22A_430
26163,0,0,0,131.818344,-20.035833,31.87,665,7,8.2,76.68144849,4581,,4634,4581,,4,0.7,0.175,0,9.8,63,10.64567468,,GBT22A_430
28479,0,0,0,185.316666,-21.995277,1.38,221,12,3.1,100.93,6854,6906.12,6905,6854,6,1.8,1.2,0.6666666667,0,2.8,63,9.520831636,,GBT22A_430
100038,0,0,0,1.559583,8.887777,1.17,430,8,7,154.88,11539,11452.67,0,11539,4.2,1,0.4,0.4,15.7,0.8,52,9.821088545,,GBT22A_430
105046,0,0,0,3.750417,16.333334,1.27,203,26,8.6,112.72,8334,8147.82,0,8334,,0.6,0.25,0.4166666667,17,2.3,75,9.580717684,,GBT22A_430
120493,0,0,0,41.455418,3.230833,2.58,321,12,9.5,86.3,6805,6810.53,6811,6805,4,0.9,0.25,0.2777777778,15,1.1,52,9.6565533,,GBT22A_430
125371,0,0,0,37.320831,18.088057,0.69,82,6,8.7,58.34,4540,4466.23,0,4540,,0.4,0.3,0.75,17.5,1.9,75,8.743693943,,GBT22A_430
130214,0,0,0,50.749588,1.365,0.88,350,30,4.3,139.32,9901,10017.71,10043,9901,1.5,0.8,0.6,0.75,15,0.9,52,9.605421607,,GBT22A_430
190579,0,0,0,148.455002,9.193611,0.75,213,27,4.8,134.28,8991,9059.66,8973,8991,1,0.5,0.4,0.8,15.6,2.4,75,9.503995932,,GBT22A_430
194224,0,0,0,135.949585,29.16,0.66,177,24,4.8,135.52,6790,6788.45,6789,6790,6.1,0.6,0.14,0.2333333333,17,2.3,75,9.456462724,,GBT22A_430
201353,0,0,0,154.823334,4.763055,0,0,0,0,206.06,13758,13880.45,13758,0,4,0.6,0.4,0.6666666667,15.1,0,43,-inf,,GBT22A_430
204628,0,0,0,150.806244,1.895278,0.9,140,14,5.6,207.01,13657,14003.92,13644,13657,5,0.45,0.36,0.8,16.1,3,75,9.959137163,,GBT22A_430
221146,0,0,0,194.222504,22.373611,2.29,250,0,0,118.03,6663,6606.66,6529,6663,5.1,0.6,0.3,0.5,15.6,0,22,9.8767323,,GBT22A_430
261094,0,0,0,249.372086,40.879997,0,0,0,0,100,7838,7782.69,7838,0,3,0.9,0.15,0.1666666667,17,0,43,-inf,,GBT22A_430
320249,0,0,0,338.460419,20.805277,1.83,416,7,6.3,159.96,10308,10248.48,10343,10308,4,1.05,0.35,0.3333333333,15.4,1.3,52,10.04338588,,GBT22A_430
441221,0,0,0,60.859173,-5.491944,0,0,0,0,183.65,11510,11960.79,11510,0,10,0.2,0.15,0.75,17.5,0,43,-inf,,GBT22A_430
510055,0,0,0,170.999573,-12.29639,7.77,317,8,9,73.11,5014,5015.08,5040,5014,3.9,2.1,1.4,0.6666666667,0,4.8,63,9.99128659,,GBT22A_430
510089,0,0,0,173.299164,-10.229722,2.43,333,9,5.9,85.51,6413,6065.13,6378,6413,3.2,1.4,0.3,0.2142857143,0,2.5,63,9.622552089,,GBT22A_430
530083,0,0,0,199.242493,-16.634445,22.57,310,11,6.6,26.67,1749,2548.39,1743,1749,4.2,5.6,3.2,0.5714285714,11.5,19.6,71,9.578489593,,GBT22A_430
530277,0,0,0,202.766663,-15.100834,6.18,298,10,6.7,61.09,4233,4214.14,4217,4233,4.9,1.6,0.4,0.25,15,4.3,63,9.735840728,,GBT22A_430
540121,0,0,0,220.599167,-17.251667,10.31,383,11,7.1,41.69,2793,2800.96,2834,2793,1.2,5.13,3.47,0.6764132554,12.3,7.8,71,9.626234459,,GBT22A_430
550003,0,0,0,225.938751,-3.3025,10.33,270,6,7.9,92.47,6366,6397.19,6367,6366,5.9,2,1.3,0.65,14.1,6.6,68,10.31901404,,GBT22A_430
630346,0,0,0,359.738342,-2.249444,3.32,376,5,7.1,99.54,7646,7535.51,11109,7646,4,1.7,0.7,0.4117647059,15,2.2,63,9.890045359,,GBT22A_430
723820,0,0,0,174.640411,25.398056,1.47,341,25,7.9,112.2,7583,7908.91,7602,7583,3,0.48,0.2,0.4166666667,14.7,2.3,75,9.640215052,,GBT22A_430
