AGCnr,HIMANGA,ALFALFA,SPRINGOB,radeg,decdeg,hiflux,width,widtherr,snr,D,vhelagc,vhelio,vopt,v21,Ty,a,b,b/a,zmag,rms,hisrc,logMH,logMH_Limit,Type
421115,0,0,0,37.766666,-20.146111,0,0,0,0,128.82,9903,9902.82,9903,0,,0.6,0.15,0.25,17,0,0,-9,9.040058781,GBT22A_430
431482,0,0,0,57.430416,-3.259722,0,0,0,0,55.21,3855,3855.68,3855,0,,0.8,0.2,0.25,16.5,0,0,-9,8.304127685,GBT22A_430
431483,0,0,0,45.385002,-15.0175,0,0,0,0,130.02,9225,9225.08,9225,0,,0.5,0.3,0.6,17,0,0,-9,9.048112514,GBT22A_430
440420,0,0,0,74.248337,-4.756945,0,0,0,0,54.45,3936,3884.35,3936,0,3.1,0.9,0.6,0.6666666667,15,0,0,-9,8.292087959,GBT22A_430
440970,0,0,0,61.561668,-8.886389,0,0,0,0,160.69,11006,11473.06,11006,0,5,0.6,0.3,0.5,16,0,0,-9,9.232069893,GBT22A_430
450525,0,0,0,79.394165,-23.783611,0,0,0,0,118.58,9393,9392.68,9393,0,,0.2,0.14,0.7,19,0,0,-9,8.968115083,GBT22A_430
460362,0,0,0,90.818336,-26.898611,0,0,0,0,133.05,9638,9637.8,9638,0,,0.5,0.35,0.7,16.5,0,0,-9,9.068121949,GBT22A_430
460363,0,0,0,92.87709,-16.485834,0,0,0,0,100,5673,5670.61,5673,0,,0.8,0.3,0.375,15.8,0,0,-9,8.820092191,GBT22A_430
480379,0,0,0,128.238754,-3.858333,0,0,0,0,129.42,9169,9029.58,9169,0,2,0.6,0.4,0.6666666667,16,0,0,-9,9.044094982,GBT22A_430
480381,0,0,0,128.759171,-8.336945,0,0,0,0,178.65,12902,12902.32,12902,0,,0.4,0.25,0.625,17,0,0,-9,9.324098232,GBT22A_430
490778,0,0,0,146.134171,-12.306667,0,0,0,0,207.97,13922,13713.51,13922,0,,0.5,0.3,0.6,16.5,0,0,-9,9.456093575,GBT22A_430
490781,0,0,0,149.827927,-19.473057,0,0,0,0,66.68,3650,3762.12,3650,0,,0.45,0.25,0.5555555556,30,0,0,-9,8.468083373,GBT22A_430
501715,0,0,0,159.147507,-7.112778,0,0,0,0,137.4,8214,8573.37,8214,0,2.2,1,0.2,0.2,15.1,0,0,-9,9.096065657,GBT22A_430
501818,0,0,0,150.897919,-35.461391,0,0,0,0,236.59,14718,14668.17,14718,0,,0.4,0.25,0.625,16.5,0,0,-9,9.56808496,GBT22A_430
501819,0,0,0,162.202499,-20.262222,0,0,0,0,59.16,3904,3903.7,3904,0,,0.6,0.4,0.6666666667,0,0,0,-9,8.364148522,GBT22A_430
520167,0,0,0,192.421661,-11.092777,0,0,0,0,59.7,4103,4327.26,4103,0,2.1,1.4,1,0.7142857143,0,0,0,-9,8.372040853,GBT22A_430
520432,0,0,0,183.546661,-0.831389,0,0,0,0,89.95,7417,7445.59,7417,0,4.9,1.3,0.6,0.4615384615,15.4,0,0,-9,8.728094526,GBT22A_430
521469,0,0,0,181.353745,-21.399166,0,0,0,0,136.14,9575,9563.94,9575,0,,0.6,0.45,0.75,16,0,0,-9,9.088063684,GBT22A_430
531590,0,0,0,203.175842,-21.801111,0,0,0,0,114.29,8835,8427.73,8835,0,,0.5,0.3,0.6,16.5,0,0,-9,8.936108656,GBT22A_430
531591,0,0,0,207.454575,-3.08,0,0,0,0,207.01,14033,14073.6,14033,0,,0.3,0.15,0.5,18,0,0,-9,9.452074842,GBT22A_430
531592,0,0,0,135.055008,-13.634444,0,0,0,0,125.89,9228,9228.08,9228,0,,0.35,0.2,0.5714285714,18,0,0,-9,9.020074658,GBT22A_430
531593,0,0,0,205.845825,-19.943888,0,0,0,0,131.83,9142,9142.22,9142,0,,0.4,0.3,0.75,17,0,0,-9,9.060120695,GBT22A_430
