DSS,SN,NED Preference,SIMBAD only,Differnt From DSS,subcatalog,zCMB,vCMB,SN Ra,SN Dec,mu,e_mu,sep,gal long (l),gal lat (b),DSSvhelio,sep,OSC SN name,redshift,OSC velocity,OSC vhelio,|v_DSS-v_OSC|,|OSC velocity-v_OSCvhelio|,|v_DSS-v_OSCvhelio|,sep,AOD Host,host ra deg,host ra wrap,host dec deg,hostoffsetdist,Host z,Host vhelio,SIMBAD Host,SIMBAD z,SIMBAD v,sep,AGCnr,radeg,decdeg,a,b,zmag,vopt,hiflux,rms,v21,width,widtherr,snr,hisrc,vhelagc,RAwrap,Separation,|v_AGC-v_Host|,|v_AGC-v_DSS|,|v_Host-v_DSS|,sep,NED,SIMBAD,DR16,LEGACY
27,sn1999da,SN 1999da,,,A2.1: A1,0.01249,3734.51,263.9476426,60.78856668,32.97153827,0.144979559,,89.732,32.649,3792.139389,,sn1999da,0.01269,3690,3804.462,102.1,114.5,12.3,,NGC 6411,263.8875,263.8875,+60.8144444444444,19.17,0.012695,3806.0,,,,,10916,263.886261,60.813053,2.3,1.8,13.2,3690,0,0,0,0,0,0,0,3690,263.886261,139.2541075,116.0,102.1,13.8,,,,,
28,sn1999cp,SN 1999cp,,,A2.1: A1,0.01039,3106.61,211.6610223,-5.440178552,32.48794129,0.167550393,,334.85,52.709,2836.937399,,sn1999cp,0.00948,2823,2842.104,13.9,19.1,5.2,,NGC 5468,211.6458333,211.6458333,-5.45361111111111,9.23,0.00948,2842.1,,,,,540024,211.642929,-5.451389,2.9,2.6,12.2,2840,30.66,0,2840,152,10,0,2,2840,211.642929,76.37543482,2.1,3.1,5.2,,,,,
29,sn1999cc,SN 1999cc,,,A2.1: A1,0.031476667,9411.523433,240.7260972,37.38110826,34.86558239,0.158640502,,59.667,48.741,9351.669472,,sn1999cc,0.03133,9392,9392.734,40.3,0.7,41.1,,NGC 6038,240.6708333,240.6708333,+37.3586111111111,2.43,0.031257,9370.8,,,,,10149,240.668732,37.359165,1.2,1.1,14.4,9392,0,0,0,0,0,0,0,9392,240.668732,182.1452795,21.2,40.3,19.2,,,,,
30,sn1999by,SN 1999by,,,A2.1: A1,0.002796667,836.203433,140.4400568,51.0159867,30.06667307,0.147527638,,166.915,44.119,665.7880116,,sn1999by,0.002128,638,637.9744,27.8,0.0,27.8,,NGC 2841,140.5083333,140.5083333,+50.9769444444444,10.73,0.002118,635.0,,,,,4966,140.508347,50.977501,7.4,3.5,9.9,631,141.22,15,635,590,1,31.1,71,635,140.508347,207.6916132,0.0,30.8,30.8,,,,,
31,sn1999aw,SN 1999aw,,,A2.1: A1,0.03921,11723.79,165.4075435,-6.054125468,35.55265258,0.137974891,,260.242,47.453,11353.21317,,sn1999aw,0.0391,12000,11722.18,646.8,277.8,369.0,,LEDA 5065171,165.401542,165.401542,-6.108778,0.00,0.04,11992.0,,,,,501175,165.430832,-6.066111,0.23,0.2,18.3,9099,0,0,0,0,0,0,0,9099,165.430832,93.8739217,2893.0,2254.2,638.8,,NED,SIMBAD,,
32,sn1999ac,SN 1999ac,,,A2.1: A1,0.009793333,2928.206567,241.857188,7.962837857,32.36687337,0.145863111,,19.883,39.943,2832.722826,,sn1999ac,0.00944,2848,2830.112,15.3,17.9,2.6,,NGC 6063,241.8041667,241.8041667,+7.97888888888889,5.59,0.0095,2848.1,,,,,10210,241.804169,7.978611,1.9,0.9,14.1,2847,8.45,2.1,2848,275,2,54.7,75,2848,241.804169,197.3691458,0.1,15.3,15.4,,,,,
33,sn1999aa,SN 1999aa,,,A2.1: A1,0.015286667,4570.713433,126.9041891,21.5032301,33.469264,0.13883919,,202.725,30.313,4328.970539,,sn1999aa,0.01444,4469,4329.112,140.0,139.9,0.1,,NGC 2595,126.925,126.925,+21.4786111111111,7.26,0.014457,4334.2,,,,,185018,126.88166,21.501112,0.38,0.2,17.2,4322,0,0,0,0,0,0,0,4322,126.88166,75.84444529,12.2,7.0,5.2,,,,,
34,sn1998v,SN 1998v,,,A2.1: A1,0.017186667,5138.813433,275.6821061,15.64574336,33.39755875,0.156581418,,43.942,13.347,5258.470441,,sn1998v,0.01759,5206,5273.482,52.5,67.5,15.0,,NGC 6627,275.6583333,275.6583333,+15.6991666666667,3.40,0.017565,5266.0,,,,,11212,275.661682,15.6975,1.5,1.3,14.5,5206,4.6,3.2,5266,84,2,17.6,57,5266,275.661682,199.3196164,0.0,7.5,7.5,,,,,
35,sn1998es,SN 1998es,,,A2.1: A1,0.009593333,2868.406567,24.32272137,5.857097798,32.26721324,0.143363198,,143.188,-55.177,3168.203968,,sn1998es,0.01057,3157,3168.886,11.2,11.9,0.7,,NGC 632,24.325,24.325,+5.8775,2.34,0.010567,3168.0,,,,,1157,24.323334,5.877223,1.7,1.3,13.5,3151,3.3,0,3180,185,0,0,-1,3180,24.323334,72.48393708,12.0,11.8,0.2,,,,,
36,sn1998eg,SN 1998eg,,,A2.1: A1,0.023483333,7021.516567,339.92326,8.593374869,34.37344838,0.162778489,,76.464,-42.06,7388.703359,,sn1998eg,0.02476,7391,7423.048,2.3,32.0,34.3,,UGC 12133,339.8833333,-20.11666667,+8.6125,9.69,0.02476,7423.0,,,,,12133,339.883759,8.612778,1.8,0.2,15.7,7391,4.33,1.1,7423,455,3,15.5,66,7423,-20.116241,156.9986153,0.0,34.3,34.3,,,,,
